id_fecha;fecha;anio;trimestre;mes_numero;mes_nombre;dia_mes
20240101;2024-01-01;2024;Q1;1;Enero;1
20240110;2024-01-10;2024;Q1;1;Enero;10
20240111;2024-01-11;2024;Q1;1;Enero;11
20240114;2024-01-14;2024;Q1;1;Enero;14
20240122;2024-01-22;2024;Q1;1;Enero;22
20240124;2024-01-24;2024;Q1;1;Enero;24
20240128;2024-01-28;2024;Q1;1;Enero;28
20240130;2024-01-30;2024;Q1;1;Enero;30
20240131;2024-01-31;2024;Q1;1;Enero;31
20240205;2024-02-05;2024;Q1;2;Febrero;5
20240207;2024-02-07;2024;Q1;2;Febrero;7
20240209;2024-02-09;2024;Q1;2;Febrero;9
20240215;2024-02-15;2024;Q1;2;Febrero;15
20240218;2024-02-18;2024;Q1;2;Febrero;18
20240220;2024-02-20;2024;Q1;2;Febrero;20
20240228;2024-02-28;2024;Q1;2;Febrero;28
20240326;2024-03-26;2024;Q1;3;Marzo;26
20240410;2024-04-10;2024;Q2;4;Abril;10
20240411;2024-04-11;2024;Q2;4;Abril;11
20240418;2024-04-18;2024;Q2;4;Abril;18
20240422;2024-04-22;2024;Q2;4;Abril;22
20240429;2024-04-29;2024;Q2;4;Abril;29
20240501;2024-05-01;2024;Q2;5;Mayo;1
20240502;2024-05-02;2024;Q2;5;Mayo;2
20240503;2024-05-03;2024;Q2;5;Mayo;3
20240505;2024-05-05;2024;Q2;5;Mayo;5
20240513;2024-05-13;2024;Q2;5;Mayo;13
20240516;2024-05-16;2024;Q2;5;Mayo;16
20240518;2024-05-18;2024;Q2;5;Mayo;18
20240529;2024-05-29;2024;Q2;5;Mayo;29
20240607;2024-06-07;2024;Q2;6;Junio;7
20240613;2024-06-13;2024;Q2;6;Junio;13
20240614;2024-06-14;2024;Q2;6;Junio;14
20240616;2024-06-16;2024;Q2;6;Junio;16
20240625;2024-06-25;2024;Q2;6;Junio;25
20240627;2024-06-27;2024;Q2;6;Junio;27
20240628;2024-06-28;2024;Q2;6;Junio;28
20240708;2024-07-08;2024;Q3;7;Julio;8
20240709;2024-07-09;2024;Q3;7;Julio;9
20240719;2024-07-19;2024;Q3;7;Julio;19
20240722;2024-07-22;2024;Q3;7;Julio;22
20240731;2024-07-31;2024;Q3;7;Julio;31
20240805;2024-08-05;2024;Q3;8;Agosto;5
20240811;2024-08-11;2024;Q3;8;Agosto;11
20240813;2024-08-13;2024;Q3;8;Agosto;13
20240814;2024-08-14;2024;Q3;8;Agosto;14
20240821;2024-08-21;2024;Q3;8;Agosto;21
20240825;2024-08-25;2024;Q3;8;Agosto;25
20240826;2024-08-26;2024;Q3;8;Agosto;26
20240903;2024-09-03;2024;Q3;9;Septiembre;3
20240918;2024-09-18;2024;Q3;9;Septiembre;18
20240920;2024-09-20;2024;Q3;9;Septiembre;20
20240922;2024-09-22;2024;Q3;9;Septiembre;22
20241001;2024-10-01;2024;Q4;10;Octubre;1
20241008;2024-10-08;2024;Q4;10;Octubre;8
20241028;2024-10-28;2024;Q4;10;Octubre;28
20241031;2024-10-31;2024;Q4;10;Octubre;31
20241102;2024-11-02;2024;Q4;11;Noviembre;2
20241111;2024-11-11;2024;Q4;11;Noviembre;11
20241112;2024-11-12;2024;Q4;11;Noviembre;12
